Positive_Score,Neutral_Score,Negative_Score,Compound_Score,Sentiment_Label,Original_Comment_Text,Comment_ID
0.0,0.757,0.243,-0.5927,Negative,"But it doesn't show all the comments, even changing the ""maxResults"" variable :(",UgxZJ2w7DWDDlRzhCsl4AaABAg
0.108,0.802,0.09,0.101,Positive,It’s limited to a page of results I’m going to make another video to get a bit more advanced,UgxZJ2w7DWDDlRzhCsl4AaABAg.9uRac4E2Rh-9uRuWgy1eA5
0.423,0.577,0.0,0.707,Positive,Thank you so much Adam .It is really very helpful.,UgzZ2J9naRYEJ_3lsMh4AaABAg
0.37,0.63,0.0,0.8905,Positive,"Very helpful video. I was doing web scrapping using bs4 and selenium, but this API way is very good and easy.",UgymZneejHndDsgeowZ4AaABAg
0.073,0.927,0.0,0.3167,Positive,There is a lot more you can do with it too with a bit of coding. Im going to make a more advanced video soon. Any tips for learning Selenium?,UgymZneejHndDsgeowZ4AaABAg.9tWZaldcRPi9tYcq9TdCX5
0.0,1.0,0.0,0.0,Neutral,Can i scrap any youtube video? Or just the video that i have on my channel?,UgxdwwaeDg0lVoOSyFV4AaABAg
0.176,0.824,0.0,0.4588,Positive,"You can scrape any video, im scraping Leila's video here who is an excel youtuber.",UgxdwwaeDg0lVoOSyFV4AaABAg.9t5kG0HGPJR9t5qygZlbsH
0.161,0.839,0.0,0.3182,Positive,"hi, how to fetch real time data from you tube, please guide me",UgzH12K8N3yzxBG_lEB4AaABAg
0.0,1.0,0.0,0.0,Neutral,Real time data for a video or a channel? What is your use case?,UgzH12K8N3yzxBG_lEB4AaABAg.9t4bdUQmuUw9tp_dWGTS4B
0.0,1.0,0.0,0.0,Neutral,@@analyticswithadam channel,UgzH12K8N3yzxBG_lEB4AaABAg.9t4bdUQmuUw9trJg38nKig
0.337,0.663,0.0,0.7263,Positive,"Thanks, easy peasy! Is there a way we can have a column for language?",Ugyhj9Rpvd4yIe79CIR4AaABAg
0.0,0.889,0.111,-0.1877,Negative,Here is a list of all the attributes it can pull. Not too comprehensive https://developers.google.com/youtube/v3/docs/comments,Ugyhj9Rpvd4yIe79CIR4AaABAg.9sw1D53eo8e9swaPaLVUtc
0.162,0.838,0.0,0.7003,Positive,"Thanks, Adam. This was easy and straightforward. 
Is it possible to get up to 1000 comments using this cos it seems there's a cap of 100 even after I changed the limit",UgwYuDgDBAb8i0PU0RB4AaABAg
0.063,0.937,0.0,0.4478,Positive,"Hi Paul, There are 100 comments per page, you need another few lines of code to pull the next page, etc but its possible to pull 1000 results.. I have a follow up video on the calendar where I will get a bit more advanced.",UgwYuDgDBAb8i0PU0RB4AaABAg.9sJfBWIQNnr9sL9uC42aBK
0.0,0.896,0.104,-0.1027,Negative,"Just a question, do we have to pay to use google cloud platform?",Ugy8csMs9DWV9YvjHp54AaABAg
0.202,0.798,0.0,0.5106,Positive,I dont have billing turned on in the example. There is a free tier.,Ugy8csMs9DWV9YvjHp54AaABAg.9sEN0JW-LWh9sEOgiOdrzq
0.435,0.565,0.0,0.4738,Positive,"Thank you, Adam! Very straightforward!",UgygVsHMKiVWx3ZfCuV4AaABAg
0.753,0.247,0.0,0.7263,Positive,Glad it was helpful!,UgygVsHMKiVWx3ZfCuV4AaABAg.9sELEKtyIL-9sJ40vgHlI_
0.224,0.776,0.0,0.6697,Positive,"hey Adam,
Thank you for this video, I will really appreciate if you upload another videos[Advance] on the same topic. Waiting........",UgytytDfRkGmlENA2pJ4AaABAg
0.2,0.8,0.0,0.4588,Positive,I'm looking at options from Excel scraping. Should have something up next week.,UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sJ46yewJYE
0.0,0.916,0.084,-0.3919,Negative,"​@@analyticswithadamhello Adam. 
I wanna ask that what do you think that Tools for extraction will work or not? Like to use scraping tools to scrape data from Twitter?? Any idea",UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYp4M2vH0W
0.0,0.916,0.084,-0.3919,Negative,"​@@analyticswithadamhello Adam. 
I wanna ask that what do you think that Tools for extraction will work or not? Like to use scraping tools to scrape data from Twitter?? Any idea",UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYpBGtAe1o
0.0,0.916,0.084,-0.3919,Negative,"​@@analyticswithadamhello Adam. 
I wanna ask that what do you think that Tools for extraction will work or not? Like to use scraping tools to scrape data from Twitter?? Any idea",UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYpOgOO7sc
0.177,0.799,0.023,0.9172,Positive,"@@zoraizelya3975 Im not 100% sure that your account wont get banned. They obviously need to protect their API revenue stream. I was thinking about your issue and looking at ChatGPT to mimic tweets from the time and place you are talking about. It would work especially if you feed it some samples. I have a video coming out tomorrow on scraping with excel you could find somewhere that would work, its super easy.",UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYuVLI1Wfc
0.569,0.431,0.0,0.765,Positive,Thank you for this Adam. Great tuorial,UgxobbYFW5QNK-WFcNF4AaABAg
0.747,0.253,0.0,0.7096,Positive,Glad it was useful,UgxobbYFW5QNK-WFcNF4AaABAg.9s4V-mdzLq79s5enfTdY8b
0.167,0.833,0.0,0.6124,Positive,I think I might get one.  I’m hoping they will be a bracket out there that will allow me to mount.  Want to put it on the back of my 55”  oled screen,UgyDlPltJSpfTdU2-BV4AaABAg
0.426,0.436,0.138,0.9312,Positive,The comment about the special job at Apple is so hilarious😂😂😂,UgzNi21PHfFv_hxcFsN4AaABAg
0.0,1.0,0.0,0.0,Neutral,Doesn’t everyone just sleep it - I haven’t turned my 2014 MacBook Air off in so long,Ugx188hh4vZvObivCmZ4AaABAg
0.0,1.0,0.0,0.0,Neutral,Some one is breaking in at 11:17,Ugxnhrkyl1-VzHsb0TN4AaABAg
0.0,1.0,0.0,0.0,Neutral,200$ for 1tb of storage 💀,Ugz-6hDxJ-jUBOhys9B4AaABAg
0.142,0.858,0.0,0.9118,Positive,"My thinking is that the Power Button has been kept to ensure that the heat dissipates on the maximum area easily as it is a smaller design, on the front/top and side and when you turn off the PC again you lift Mac Mini to dissipate the heat (Back Side). Because of the Power Button. Another reason might be the system design as Power IC/Circuit might be easily available/directly connected, for the button on the back hand side, lesser usage of complex wiring on smaller device/design. :)",UgxmUfw_9JhZpWMYsHF4AaABAg
0.0,1.0,0.0,0.0,Neutral,But do you really use that apple mouse???,UgyYtvsDG_V3PqvcEi94AaABAg
0.259,0.741,0.0,0.5927,Positive,amd ryzen 5 halo should provide the same packaging but better performance.,UgzhW4kLkw2l8PkQPf94AaABAg
0.185,0.815,0.0,0.3612,Positive,"Thank you for compressing the ""box opening"" into a 5 second bit.",UgxzCvD7s1KkwcuFnOV4AaABAg
0.0,0.934,0.066,-0.4404,Negative,"With these prices for Mac Mini base models (or even the models with just one upgrade, say) Apple is suddenly a serious competitor in the mainstream desktop computing market again, and just at a time when Microsoft’s Windows division, the PC makers and even the x86 chipmakers are losing their way. Pure coincidence or partly a plan?",Ugyf1We122sZhJv9-ZZ4AaABAg
0.0,1.0,0.0,0.0,Neutral,What about the Macbook Pro M4 review? Your review is the only thing keeping me from buying it,UgzFgM78jo03O13Z6A94AaABAg
0.0,0.966,0.034,-0.0572,Negative,"Charging port at the bottom of the magic mouse makes sense. Apple didn't want ppl to use the mouse while it's charging, this would affect the aesthetics and usage. It wouldn't be a wireless mouse anymore.",UgxQNmawptW9f_1l9Yp4AaABAg
0.0,0.94,0.06,-0.1027,Negative,And as usual in the UK we have to pay an extra $170 to get the same thing as its £600 = $770,UgxGXhA_Q5jrUXkYWRF4AaABAg
0.081,0.745,0.174,-0.3612,Negative,They had a surplus of black power buttons and didn’t want to waste em,Ugxk5hh7FPi3mhKHvex4AaABAg
0.153,0.812,0.035,0.7635,Positive,"The power button on bottom will boost accessory sales, specially Apple Magic Mouse/Trackpad and Magic Keyboard. 
I was thinking of getting this, but I am sure I want to turn it back on from sleep, it won't work as well with a Logitech/another third party keyboard or mouse as it would with Magic Keyboard, Mouse and Trackpad.",UgwhWVI2WLezBO4Js954AaABAg
0.094,0.906,0.0,0.4404,Positive,"Marques do you thing is a good choise the base version for just editing with Lightroom, Photoshop and Davinci (Not much use as video editing, 100% photo editing )",UgzWspydzWI9pIZdovl4AaABAg
0.171,0.829,0.0,0.5719,Positive,I guess you're supposed to hang it under the desk and then the button is at a perfect place?,UgwKdv1LcLLkNmpPA_J4AaABAg
0.0,1.0,0.0,0.0,Neutral,Can’t you just turn it upside down 🤷,UgxrKFIZfDbiE1XNnkB4AaABAg
0.0,1.0,0.0,0.0,Neutral,Try asking chatgpt about the reason behind putting the power button at bottom.,UgzPLCpALEFFb8a00XV4AaABAg
0.227,0.773,0.0,0.6124,Positive,"Hey a guesstion can y use a gaming phone like a evry day use phone 
Like tecno pova 6",UgzK7C8vpNuNzKtQhOJ4AaABAg
0.0,1.0,0.0,0.0,Neutral,Shoutout,Ugxj6ZaUOl4r6kyGIgd4AaABAg
0.0,0.903,0.097,-0.4767,Negative,I have the old Mac Mini (M1) and I've hit the power button by accident while accessing the ports at the back.  I don't mind the power button hidden away.,UgyhZx9-5m5FCLdhgCt4AaABAg
0.0,1.0,0.0,0.0,Neutral,As an M2 Mac Mini owner... Take my money NOW,UgzpFhXIX3wA6skQVm94AaABAg
0.38,0.449,0.171,0.8402,Positive,Button reason plz buy a Apple stand 😂😂😂,UgxJ4I0qvn2LCONoMEB4AaABAg
0.0,1.0,0.0,0.0,Neutral,"I don't know man, isn't it more appealing to buy the macbook air models for a student or people on a budget? It doesn't have a screen, it doesn't have a keyboard or a mouse to come along while the MacBook Air comes as a whole package.",UgyXkxvEa9UZbuNNjoZ4AaABAg
0.251,0.749,0.0,0.8107,Positive,"Well, I don’t feel impressed. There have been NUC Windows PCs of similar small size for years. At the same price, you can absolutely get a better configuration.",UgxjejTwIinM8-fGQ8F4AaABAg
0.097,0.583,0.32,-0.7739,Negative,WTF is going on with this comment section. Half the comments are AI bots promoting some crypto scam.,UgwhFnph4SVQz29z1bZ4AaABAg
0.0,1.0,0.0,0.0,Neutral,sooooo whyb didn't they just make the apple logo the power  button  >>>>>>>,Ugz1QX4LvSVICmMBXG14AaABAg
0.189,0.811,0.0,0.9017,Positive,"The most incredible thing to me is how much moving to ARM has paid dividends for Apple
Between cornering a niche in the laptop market (people who need power efficiency) to making the most powerful tablets (Apple Silicon being much more powerful than the A series) to now making computers insanely small…
I greatly respect it",UgxdD0wtRZ-EdUHknFt4AaABAg
0.259,0.741,0.0,0.6369,Positive,Mac Minis have always been pound for pound the best Mac nothing changes.,Ugyw20cY2FN1L1iK4Ed4AaABAg
0.0,1.0,0.0,0.0,Neutral,"Once again, apple is overcharging the cult. You c can get a chromebook or windows machine that does all of this for much much less money.",Ugyizy-uibmlGyDn57B4AaABAg
0.141,0.534,0.325,-0.5859,Negative,Why the fuck would they put HDMI on it instead of DP?  Good grief...,UgyuAK86ereENUCtKBZ4AaABAg
0.266,0.734,0.0,0.504,Positive,would the new mac mini be good for music production??,Ugw3UYjXg1EWDLFhVOJ4AaABAg
0.0,1.0,0.0,0.0,Neutral,Do you suggest upgrade the RAM memory to 24gb? It has sense?,UgyqLib0PQ0rGR5lgah4AaABAg
0.0,0.72,0.28,-0.8372,Negative,"4:12 This is why Marcus is stupid , They put it down there so no one turns it on off more frequently and interrupt data collection",Ugznv6TQmafgj1qwfbB4AaABAg
0.2,0.8,0.0,0.6114,Positive,Wonderful! My only question is: When are they releasing the Mac Studio with an M4 Ultra chip?,UgxtpgY1IjLhF_Fmbd94AaABAg
0.0,1.0,0.0,0.0,Neutral,"I wonder if they had used a USB-C power supply instead of a ""regular"" one inside. The mini could be the same size as an Apple TV.",Ugwo60BW1pKpskgaRXR4AaABAg
0.095,0.835,0.07,0.2732,Positive,Hey MKBHD... Love your vids. I have a question... I have an older iMac 2015 that has a broken wifi. Is it possible to connect the new iMac Mini to my old iMac and use it as a monitor?,Ugwrq_X3swFyur9wd9d4AaABAg
0.0,0.87,0.13,-0.34,Negative,We just got two of them at church. They got here Friday and they are crazy small,UgwWrOTFx5zhW-SYroZ4AaABAg
0.125,0.722,0.153,-0.1109,Negative,I was under the impression the NAND was upgradeable. Is this not true?,Ugy3iRbNId96uaXFdbh4AaABAg
0.119,0.881,0.0,0.6124,Positive,"I have a MacBook Pro from 2015, and recently purchased a Mac mini. I would like to ask if I can use a Mac mini as the host for my MacBook, but operate it with my MacBook. Thank you",Ugwhh7Cuw5bNHjYhv6l4AaABAg
0.0,1.0,0.0,0.0,Neutral,so an m3 air is 12k so its trash??,Ugza2uqFM0vPthXju394AaABAg
0.072,0.86,0.069,0.0258,Neutral,"Power button placement intent: if button were on side, when you grab your Mac mini from the side, you don’t accidentally turn it off while editing your videos 😅",UgzZJFyhg0ri8Txkp-94AaABAg
0.0,1.0,0.0,0.0,Neutral,First ten seconds: MKBASMR,UgytNMi8cMxGql7n20F4AaABAg
0.675,0.325,0.0,0.8519,Positive,Great stuff as always ❤,UgxWrlDM7ZTgLxQ96vR4AaABAg
0.059,0.941,0.0,0.3222,Positive,"makes me want to get one, but I know I will never use it if I ever get it.....................................
I mean its only 599$ !!!!

I know some youtuber can and will redesign this into a portable laptop.",UgxcYzA7yrB3C08rnJh4AaABAg
0.298,0.702,0.0,0.8244,Positive,"FINALLY I'll get mine soon, so happy, I'm team apple, I'll just need some accessories and good Office, any suggestions?",UgwYBeA78-Ie4eesIHx4AaABAg
0.16,0.84,0.0,0.2732,Positive,"I'm team Apple, any apple mouse/keyboard works well, for Office BNH Software...",UgwYBeA78-Ie4eesIHx4AaABAg.AAhQznsR7PYAAhTyc6Z6D5
0.59,0.41,0.0,0.802,Positive,"Thanks boy, you're probably right 💞",UgwYBeA78-Ie4eesIHx4AaABAg.AAhQznsR7PYAAhUn9KCyI8
0.159,0.841,0.0,0.5267,Positive,I mounted my old mini in the back of my monitor. Thus the placement of the power button. Ideal,UgyR1T0ZGOk6neDvlEh4AaABAg
0.145,0.855,0.0,0.2975,Positive,"You gotta review the new sony phone, its almost like they listened to you",UgxLBv8q_ejX8oJQ-hd4AaABAg
0.0,1.0,0.0,0.0,Neutral,But does it have a personal mic switch?,UgwY3j298WqUgQS6hMh4AaABAg
0.0,1.0,0.0,0.0,Neutral,There should always be one option in a product line without it.,UgwY3j298WqUgQS6hMh4AaABAg.AAhMnnHHfa4AAhMuD_rujC
0.174,0.826,0.0,0.6444,Positive,"Similarly to how one apple, at least one apple in a casket needs to be God Red. So that the good sheep can choose the right apple.",UgwY3j298WqUgQS6hMh4AaABAg.AAhMnnHHfa4AAhN46ZF0qM
0.167,0.833,0.0,0.25,Positive,"Thought, Pair this with the vision pro for a mobile setup?",Ugz6PFqhVHbDkwAo6ax4AaABAg
0.0,1.0,0.0,0.0,Neutral,why does it have the power button on the bottom!?!?!?!,UgwRC5504EuvLAeODOZ4AaABAg
0.017,0.966,0.016,0.0201,Neutral,"I think they put the power button on the bottom so their Mac Minis don't get hidden in some tight space. By placing the power button on the bottom, they don't want us to put it in a corner and have to pull it out and lift it to turn it on. They just want it in the middle of our display. I think that's just Apple wanting their brand to be in front.",Ugy-lM34FQ1thaZxtIB4AaABAg
0.197,0.803,0.0,0.4019,Positive,Would it work if I plug the hdmi to a smart tv?,UgwbyIlXOif1G_K7wJp4AaABAg
0.0,1.0,0.0,0.0,Neutral,The reason of power button in the back is never power off this brick.,Ugw0T1V3dbYCXSoey9V4AaABAg
0.033,0.93,0.037,-0.0772,Negative,The argument I hear a lot is it’s ok the new Mini doesn’t come with WiFi7 since very few are running a WiFi7 network. Is there some giant list of Thunderbolt 5 peripherals out there some of us don’t know about? Max out the config on a Mini and even MaxBook and look at the price. You’re still not getting the current WiFi7 spec.,Ugw3-aL58zMkZJd__4x4AaABAg
0.079,0.898,0.024,0.4343,Positive,"I am actually considering a m4 pro Mac mini, to replace my current Desktop pc.  I want something to edit the odd video, for what I want I could get it for $3k Australian, I consider the M2 Max Mac Studio, but I looking at more money, ok the max has more gpu cores which at least on paper means quicker video work and the SD slot.",UgyHWPeB7pM9r5sThCB4AaABAg
0.249,0.627,0.124,0.8241,Positive,"Spot on the conspiracy theory!  Makes perfect sense and I absolutely believe there is a person at Apple that creates the most annoying and useless options on every Apple device.  He or she really did it this time, they will get a huge bonus this year for sure, there is definitely an inside company joke with this guy.",UgySfofhWUQ9nEjuUqx4AaABAg
0.0,0.872,0.128,-0.4199,Negative,"The window behind your back is flickering: yet again, Windows is trying to mess up with the new Apple product!",UgxTLUdgmMwMbXg_sG54AaABAg
