Positive_Score,Neutral_Score,Negative_Score,Compound_Score,Sentiment_Label,Original_Comment_Text,Comment_ID
0.0,0.757,0.243,-0.5927,Negative,"But it doesn't show all the comments, even changing the ""maxResults"" variable :(",UgxZJ2w7DWDDlRzhCsl4AaABAg
0.108,0.802,0.09,0.101,Positive,It’s limited to a page of results I’m going to make another video to get a bit more advanced,UgxZJ2w7DWDDlRzhCsl4AaABAg.9uRac4E2Rh-9uRuWgy1eA5
0.423,0.577,0.0,0.707,Positive,Thank you so much Adam .It is really very helpful.,UgzZ2J9naRYEJ_3lsMh4AaABAg
0.37,0.63,0.0,0.8905,Positive,"Very helpful video. I was doing web scrapping using bs4 and selenium, but this API way is very good and easy.",UgymZneejHndDsgeowZ4AaABAg
0.073,0.927,0.0,0.3167,Positive,There is a lot more you can do with it too with a bit of coding. Im going to make a more advanced video soon. Any tips for learning Selenium?,UgymZneejHndDsgeowZ4AaABAg.9tWZaldcRPi9tYcq9TdCX5
0.0,1.0,0.0,0.0,Neutral,Can i scrap any youtube video? Or just the video that i have on my channel?,UgxdwwaeDg0lVoOSyFV4AaABAg
0.176,0.824,0.0,0.4588,Positive,"You can scrape any video, im scraping Leila's video here who is an excel youtuber.",UgxdwwaeDg0lVoOSyFV4AaABAg.9t5kG0HGPJR9t5qygZlbsH
0.161,0.839,0.0,0.3182,Positive,"hi, how to fetch real time data from you tube, please guide me",UgzH12K8N3yzxBG_lEB4AaABAg
0.0,1.0,0.0,0.0,Neutral,Real time data for a video or a channel? What is your use case?,UgzH12K8N3yzxBG_lEB4AaABAg.9t4bdUQmuUw9tp_dWGTS4B
0.337,0.663,0.0,0.7263,Positive,"Thanks, easy peasy! Is there a way we can have a column for language?",Ugyhj9Rpvd4yIe79CIR4AaABAg
0.0,0.889,0.111,-0.1877,Negative,Here is a list of all the attributes it can pull. Not too comprehensive https://developers.google.com/youtube/v3/docs/comments,Ugyhj9Rpvd4yIe79CIR4AaABAg.9sw1D53eo8e9swaPaLVUtc
0.162,0.838,0.0,0.7003,Positive,"Thanks, Adam. This was easy and straightforward. 
Is it possible to get up to 1000 comments using this cos it seems there's a cap of 100 even after I changed the limit",UgwYuDgDBAb8i0PU0RB4AaABAg
0.063,0.937,0.0,0.4478,Positive,"Hi Paul, There are 100 comments per page, you need another few lines of code to pull the next page, etc but its possible to pull 1000 results.. I have a follow up video on the calendar where I will get a bit more advanced.",UgwYuDgDBAb8i0PU0RB4AaABAg.9sJfBWIQNnr9sL9uC42aBK
0.0,0.896,0.104,-0.1027,Negative,"Just a question, do we have to pay to use google cloud platform?",Ugy8csMs9DWV9YvjHp54AaABAg
0.202,0.798,0.0,0.5106,Positive,I dont have billing turned on in the example. There is a free tier.,Ugy8csMs9DWV9YvjHp54AaABAg.9sEN0JW-LWh9sEOgiOdrzq
0.435,0.565,0.0,0.4738,Positive,"Thank you, Adam! Very straightforward!",UgygVsHMKiVWx3ZfCuV4AaABAg
0.753,0.247,0.0,0.7263,Positive,Glad it was helpful!,UgygVsHMKiVWx3ZfCuV4AaABAg.9sELEKtyIL-9sJ40vgHlI_
0.224,0.776,0.0,0.6697,Positive,"hey Adam,
Thank you for this video, I will really appreciate if you upload another videos[Advance] on the same topic. Waiting........",UgytytDfRkGmlENA2pJ4AaABAg
0.2,0.8,0.0,0.4588,Positive,I'm looking at options from Excel scraping. Should have something up next week.,UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sJ46yewJYE
0.0,0.916,0.084,-0.3919,Negative,"​@@analyticswithadamhello Adam. 
I wanna ask that what do you think that Tools for extraction will work or not? Like to use scraping tools to scrape data from Twitter?? Any idea",UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYp4M2vH0W
0.0,0.916,0.084,-0.3919,Negative,"​@@analyticswithadamhello Adam. 
I wanna ask that what do you think that Tools for extraction will work or not? Like to use scraping tools to scrape data from Twitter?? Any idea",UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYpBGtAe1o
0.0,0.916,0.084,-0.3919,Negative,"​@@analyticswithadamhello Adam. 
I wanna ask that what do you think that Tools for extraction will work or not? Like to use scraping tools to scrape data from Twitter?? Any idea",UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYpOgOO7sc
0.177,0.799,0.023,0.9172,Positive,"@@zoraizelya3975 Im not 100% sure that your account wont get banned. They obviously need to protect their API revenue stream. I was thinking about your issue and looking at ChatGPT to mimic tweets from the time and place you are talking about. It would work especially if you feed it some samples. I have a video coming out tomorrow on scraping with excel you could find somewhere that would work, its super easy.",UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYuVLI1Wfc
0.569,0.431,0.0,0.765,Positive,Thank you for this Adam. Great tuorial,UgxobbYFW5QNK-WFcNF4AaABAg
0.747,0.253,0.0,0.7096,Positive,Glad it was useful,UgxobbYFW5QNK-WFcNF4AaABAg.9s4V-mdzLq79s5enfTdY8b
