No_Stopwords_Text,Topic,Comment_ID
many maximum comments pull time pull 20 commments want get help us,2,Ugwev_jKGnWmCBzt_1d4AaABAg
follow video pinned comment pull comments,2,Ugwev_jKGnWmCBzt_1d4AaABAg.9wx43BP0eWR9wxA9bDqMPH
top level comments returned api get comments,2,UgxDIPoeueUrgijL3ah4AaABAg
get top comments,2,UgxDIPoeueUrgijL3ah4AaABAg.9wvSeaT2fkS9wvlBRypRda
analyticswithadam top comments constitute around 10 total number comments anyway thanks,2,UgxDIPoeueUrgijL3ah4AaABAg.9wvSeaT2fkS9wwYmKWJF6S
put comments spreadsheet,2,Ugzni32TS8oJKZlQLdl4AaABAg
work using google colab googlecolab import files dftocsvyoutubecsv filesdownloadyoutubecsv,2,Ugzni32TS8oJKZlQLdl4AaABAg.9warxfVuH5q9wb-fSLoa1f
finally got around making advanced video find scrape comments attributes httpsyoutube0ftchji5lmwsiqtujhvqtxjs3ykzp,2,Ugz0jr-wSPttBV6_3Ax4AaABAg
works live video,2,Ugwgsqk6avnLmEbuEZh4AaABAg
great video also scrape instagram videos,2,UgxakP18PCo0I2knevx4AaABAg
different api facebook,5,UgxakP18PCo0I2knevx4AaABAg.9w9tXvc5QKw9wB5YyecbZi
thank much great video looking forward second part,2,UgytMDSRve1MgK8Qx5V4AaABAg
im making week next upload soon done,2,UgytMDSRve1MgK8Qx5V4AaABAg.9vqcK3-jfhk9vqr5RhnaEh
great video make explain video write code pull comments need libraries find format youtube googleapiclientdiscoverybuild thank vary much,2,Ugxr0La347vlD58XXAt4AaABAg
tried make loop get videos channel scrape comments however gave following error request cannot completed exceeded quota understand api daily request limit fact video private comment request returns 403,2,UgyDklf1KN3ilk3K9dJ4AaABAg
trying figure,11,UgyDklf1KN3ilk3K9dJ4AaABAg.9vPizY5Ftww9yZQPCzncWO
stevenbeets9863 limit put past 12 months scrape,2,UgyDklf1KN3ilk3K9dJ4AaABAg.9vPizY5Ftww9y_e58c51-v
hi found video helpfull research wondering way get result top comment instead latest comment,2,Ugyg2zelFWswTmS99Wt4AaABAg
heck still confused even get 100 comments,-1,Ugyg2zelFWswTmS99Wt4AaABAg.9vI3olzsUsF9vI8nWk0yrI
making follow additional info weeks sure sort liked descending python include along pagination get 100 comments meantime might help httpsdevelopersgooglecomyoutubev3guidesimplementationpagination,2,Ugyg2zelFWswTmS99Wt4AaABAg.9vI3olzsUsF9vK4vmjPRDF
work youtube shorts,2,UgxhejMpEC88gGkoOP54AaABAg
question im currently using youtube api get comments video however reason api also gets comments deleted channels owner like scam comments hateful comments deleted video comments obvious reasons way remove type comments api request without find every single hateful comments id remove manually,2,UgzdUYM1VOqn_yH1mp14AaABAg
going create advanced video weeks part look,0,UgzdUYM1VOqn_yH1mp14AaABAg.9udlqJs0HPy9ueAALI88Vb
doesnt show comments even changing maxresults variable,2,UgxZJ2w7DWDDlRzhCsl4AaABAg
limited page results going make another video get bit advanced,2,UgxZJ2w7DWDDlRzhCsl4AaABAg.9uRac4E2Rh-9uRuWgy1eA5
thank much adam really helpful,2,UgzZ2J9naRYEJ_3lsMh4AaABAg
helpful video web scrapping using bs4 selenium api way good easy,2,UgymZneejHndDsgeowZ4AaABAg
lot bit coding im going make advanced video soon tips learning selenium,2,UgymZneejHndDsgeowZ4AaABAg.9tWZaldcRPi9tYcq9TdCX5
scrap youtube video video channel,2,UgxdwwaeDg0lVoOSyFV4AaABAg
scrape video im scraping leilas video excel youtuber,2,UgxdwwaeDg0lVoOSyFV4AaABAg.9t5kG0HGPJR9t5qygZlbsH
hi fetch real time data tube please guide,-1,UgzH12K8N3yzxBG_lEB4AaABAg
real time data video channel use case,-1,UgzH12K8N3yzxBG_lEB4AaABAg.9t4bdUQmuUw9tp_dWGTS4B
analyticswithadam channel,2,UgzH12K8N3yzxBG_lEB4AaABAg.9t4bdUQmuUw9trJg38nKig
thanks easy peasy way column language,0,Ugyhj9Rpvd4yIe79CIR4AaABAg
list attributes pull comprehensive httpsdevelopersgooglecomyoutubev3docscomments,2,Ugyhj9Rpvd4yIe79CIR4AaABAg.9sw1D53eo8e9swaPaLVUtc
thanks adam easy straightforward possible get 1000 comments using cos seems theres cap 100 even changed limit,2,UgwYuDgDBAb8i0PU0RB4AaABAg
hi paul 100 comments per page need another lines code pull next page etc possible pull 1000 results follow video calendar get bit advanced,2,UgwYuDgDBAb8i0PU0RB4AaABAg.9sJfBWIQNnr9sL9uC42aBK
question pay use google cloud platform,-1,Ugy8csMs9DWV9YvjHp54AaABAg
dont billing turned example free tier,-1,Ugy8csMs9DWV9YvjHp54AaABAg.9sEN0JW-LWh9sEOgiOdrzq
thank adam straightforward,2,UgygVsHMKiVWx3ZfCuV4AaABAg
glad helpful,2,UgygVsHMKiVWx3ZfCuV4AaABAg.9sELEKtyIL-9sJ40vgHlI_
hey adam thank video really appreciate upload another videosadvance topic waiting,2,UgytytDfRkGmlENA2pJ4AaABAg
im looking options excel scraping something next week,2,UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sJ46yewJYE
analyticswithadamhello adam wanna ask think tools extraction work like use scraping tools scrape data twitter idea,2,UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYp4M2vH0W
analyticswithadamhello adam wanna ask think tools extraction work like use scraping tools scrape data twitter idea,2,UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYpBGtAe1o
analyticswithadamhello adam wanna ask think tools extraction work like use scraping tools scrape data twitter idea,2,UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYpOgOO7sc
zoraizelya3975 im 100 sure account wont get banned obviously need protect api revenue stream thinking issue looking chatgpt mimic tweets time place talking would work especially feed samples video coming tomorrow scraping excel could find somewhere would work super easy,2,UgytytDfRkGmlENA2pJ4AaABAg.9s7-wcYeYOb9sYuVLI1Wfc
thank adam great tuorial,2,UgxobbYFW5QNK-WFcNF4AaABAg
glad useful,2,UgxobbYFW5QNK-WFcNF4AaABAg.9s4V-mdzLq79s5enfTdY8b
think might get one hoping bracket allow mount want put back 55 oled screen,1,UgyDlPltJSpfTdU2-BV4AaABAg
comment special job apple hilarious,0,UgzNi21PHfFv_hxcFsN4AaABAg
everyone sleep turned 2014 macbook air long,-1,Ugx188hh4vZvObivCmZ4AaABAg
one breaking 1117,2,Ugxnhrkyl1-VzHsb0TN4AaABAg
200 1tb storage,0,Ugz-6hDxJ-jUBOhys9B4AaABAg
thinking power button kept ensure heat dissipates maximum area easily smaller design fronttop side turn pc lift mac mini dissipate heat back side power button another reason might system design power iccircuit might easily availabledirectly connected button back hand side lesser usage complex wiring smaller devicedesign,1,UgxmUfw_9JhZpWMYsHF4AaABAg
really use apple mouse,1,UgyYtvsDG_V3PqvcEi94AaABAg
amd ryzen 5 halo provide packaging better performance,0,UgzhW4kLkw2l8PkQPf94AaABAg
thank compressing box opening 5 second bit,1,UgxzCvD7s1KkwcuFnOV4AaABAg
prices mac mini base models even models one upgrade say apple suddenly serious competitor mainstream desktop computing market time microsoft windows division pc makers even x86 chipmakers losing way pure coincidence partly plan,-1,Ugyf1We122sZhJv9-ZZ4AaABAg
macbook pro m4 review review thing keeping buying,-1,UgzFgM78jo03O13Z6A94AaABAg
charging port bottom magic mouse makes sense apple didnt want ppl use mouse charging would affect aesthetics usage wouldnt wireless mouse anymore,1,UgxQNmawptW9f_1l9Yp4AaABAg
usual uk pay extra 170 get thing 600 770,3,UgxGXhA_Q5jrUXkYWRF4AaABAg
surplus black power buttons want waste em,1,Ugxk5hh7FPi3mhKHvex4AaABAg
power button bottom boost accessory sales specially apple magic mousetrackpad magic keyboard thinking getting sure want turn back sleep wont work well logitechanother third party keyboard mouse would magic keyboard mouse trackpad,1,UgwhWVI2WLezBO4Js954AaABAg
marques thing good choise base version editing lightroom photoshop davinci much use video editing 100 photo editing,0,UgzWspydzWI9pIZdovl4AaABAg
guess youre supposed hang desk button perfect place,-1,UgwKdv1LcLLkNmpPA_J4AaABAg
turn upside,11,UgxrKFIZfDbiE1XNnkB4AaABAg
try asking chatgpt reason behind putting power button bottom,1,UgzPLCpALEFFb8a00XV4AaABAg
hey guesstion use gaming phone like evry day use phone like tecno pova 6,-1,UgzK7C8vpNuNzKtQhOJ4AaABAg
shoutout,-1,Ugxj6ZaUOl4r6kyGIgd4AaABAg
old mac mini m1 ive hit power button accident accessing ports back dont mind power button hidden away,1,UgyhZx9-5m5FCLdhgCt4AaABAg
m2 mac mini owner take money,0,UgzpFhXIX3wA6skQVm94AaABAg
button reason plz buy apple stand,-1,UgxJ4I0qvn2LCONoMEB4AaABAg
dont know man isnt appealing buy macbook air models student people budget doesnt screen doesnt keyboard mouse come along macbook air comes whole package,-1,UgyXkxvEa9UZbuNNjoZ4AaABAg
well feel impressed nuc windows pcs similar small size years price absolutely get better configuration,8,UgxjejTwIinM8-fGQ8F4AaABAg
wtf going comment section half comments ai bots promoting crypto scam,3,UgwhFnph4SVQz29z1bZ4AaABAg
sooooo whyb didnt make apple logo power button,1,Ugz1QX4LvSVICmMBXG14AaABAg
incredible thing much moving arm paid dividends apple cornering niche laptop market people need power efficiency making powerful tablets apple silicon much powerful series making computers insanely small greatly respect,-1,UgxdD0wtRZ-EdUHknFt4AaABAg
mac minis always pound pound best mac nothing changes,0,Ugyw20cY2FN1L1iK4Ed4AaABAg
apple overcharging cult c get chromebook windows machine much much less money,-1,Ugyizy-uibmlGyDn57B4AaABAg
fuck would put hdmi instead dp good grief,0,UgyuAK86ereENUCtKBZ4AaABAg
would new mac mini good music production,-1,Ugw3UYjXg1EWDLFhVOJ4AaABAg
suggest upgrade ram memory 24gb sense,0,UgyqLib0PQ0rGR5lgah4AaABAg
412 marcus stupid put one turns frequently interrupt data collection,-1,Ugznv6TQmafgj1qwfbB4AaABAg
wonderful question releasing mac studio m4 ultra chip,-1,UgxtpgY1IjLhF_Fmbd94AaABAg
wonder used usbc power supply instead regular one inside mini could size apple tv,0,Ugwo60BW1pKpskgaRXR4AaABAg
hey mkbhd love vids question older imac 2015 broken wifi possible connect new imac mini old imac use monitor,0,Ugwrq_X3swFyur9wd9d4AaABAg
got two church got friday crazy small,4,UgwWrOTFx5zhW-SYroZ4AaABAg
impression nand upgradeable true,-1,Ugy3iRbNId96uaXFdbh4AaABAg
macbook pro 2015 recently purchased mac mini would like ask use mac mini host macbook operate macbook thank,0,Ugwhh7Cuw5bNHjYhv6l4AaABAg
m3 air 12k trash,0,Ugza2uqFM0vPthXju394AaABAg
power button placement intent button side grab mac mini side accidentally turn editing videos,1,UgzZJFyhg0ri8Txkp-94AaABAg
first ten seconds mkbasmr,3,UgytNMi8cMxGql7n20F4AaABAg
great stuff always,-1,UgxWrlDM7ZTgLxQ96vR4AaABAg
makes want get one know never use ever get mean 599 know youtuber redesign portable laptop,-1,UgxcYzA7yrB3C08rnJh4AaABAg
finally ill get mine soon happy im team apple ill need accessories good office suggestions,0,UgwYBeA78-Ie4eesIHx4AaABAg
im team apple apple mousekeyboard works well office bnh software,1,UgwYBeA78-Ie4eesIHx4AaABAg.AAhQznsR7PYAAhTyc6Z6D5
thanks boy youre probably right,2,UgwYBeA78-Ie4eesIHx4AaABAg.AAhQznsR7PYAAhUn9KCyI8
mounted old mini back monitor thus placement power button ideal,1,UgyR1T0ZGOk6neDvlEh4AaABAg
gotta review new sony phone almost like listened,-1,UgxLBv8q_ejX8oJQ-hd4AaABAg
personal mic switch,-1,UgwY3j298WqUgQS6hMh4AaABAg
always one option product line without,0,UgwY3j298WqUgQS6hMh4AaABAg.AAhMnnHHfa4AAhMuD_rujC
similarly one apple least one apple casket needs god red good sheep choose right apple,0,UgwY3j298WqUgQS6hMh4AaABAg.AAhMnnHHfa4AAhN46ZF0qM
thought pair vision pro mobile setup,0,Ugz6PFqhVHbDkwAo6ax4AaABAg
power button bottom,1,UgwRC5504EuvLAeODOZ4AaABAg
think put power button bottom mac minis dont get hidden tight space placing power button bottom dont want us put corner pull lift turn want middle display think thats apple wanting brand front,1,Ugy-lM34FQ1thaZxtIB4AaABAg
would work plug hdmi smart tv,0,UgwbyIlXOif1G_K7wJp4AaABAg
reason power button back never power brick,1,Ugw0T1V3dbYCXSoey9V4AaABAg
argument hear lot ok new mini come wifi7 since running wifi7 network giant list thunderbolt 5 peripherals us know max config mini even maxbook look price still getting current wifi7 spec,-1,Ugw3-aL58zMkZJd__4x4AaABAg
actually considering m4 pro mac mini replace current desktop pc want something edit odd video want could get 3k australian consider m2 max mac studio looking money ok max gpu cores least paper means quicker video work sd slot,-1,UgyHWPeB7pM9r5sThCB4AaABAg
spot conspiracy theory makes perfect sense absolutely believe person apple creates annoying useless options every apple device really time get huge bonus year sure definitely inside company joke guy,0,UgySfofhWUQ9nEjuUqx4AaABAg
window behind back flickering yet windows trying mess new apple product,10,UgxTLUdgmMwMbXg_sG54AaABAg
bro footprint measured area height iphone bigger footprint new mac,4,Ugzx9exM--LpioIgYTl4AaABAg
apple design team knows exactly theyre put inaccessible place product clearly one message dont use whatever reason may kind design changes way user uses product clearly nobody ever turn unless want reset move sell case emergency,0,UgyflfHuYJ7fY33Zqw94AaABAg
award goes apple department customer frustration power button,1,UgwZehvgdtQBaSqv4YR4AaABAg
turn upside ya go solved,11,UgyvSrrDz_rrUE1AULN4AaABAg
would recommend mac mini 1 base model cpu 32gb ram 512 gb storage 2 m4 pro upgraded cpu struggling one buy similar price typically use mac mini coding little bit video editing loading windows virtual machine use power bi,-1,Ugx_3Jfyk3vFAOdv0314AaABAg
ill keep building pc running linux hard pass mini,-1,Ugy0aB39m3vow7WG2nZ4AaABAg
bottom lot mac minis put desk,1,Ugw7MQEiBLY_SYRz-ct4AaABAg
dont really believe theres one person obnoxious function rate seems really something design feature gets everyone talking especially hates apple would talk,0,UgxvfJohZKVblYIXzwV4AaABAg
said might turn computer every 2 3 weeks placing obscure position without taking visible real estate seems smart,-1,UgzLY8vYVE7hTJ3wwud4AaABAg
apple makes totally fine product likeable people also apple lets put power button bottom ruin,1,UgxVm_zA-glf3ujZLGB4AaABAg
seen reviewers suggest could thermal issues m4 pro mini testing,0,Ugy-VhPN9mUUbSatSMZ4AaABAg
think hearing term mini pc first time existed mac mini overpriced,-1,UgzxeT1idxYHPIrOxf54AaABAg
wish money one,3,UgySGrY9TGKQYsuPSyl4AaABAg
dont know love bad graphic money,3,UgwpsgUcLJGhQftho3p4AaABAg
know would terrific marquees using iphone screen mac mini terrific,-1,Ugy0wE38a-5Qfwn55aJ4AaABAg
think put switch bottom prevent accidentally switched maluable accidents could happen placed side top,-1,Ugw6GFF5an4s3J2Jtqd4AaABAg
apple somehow continues delusion steve jobs death thought powering device like death started producing devices like apple tv 20072008 poweroff button,1,UgwEH-C9BSbHELKIzaV4AaABAg
bring back trashcan,0,UgxZK0vyb76BgEqnV1p4AaABAg
hey wondering ever talk stuff like right repair,-1,UgyOfDdnnRkuuhgHdTh4AaABAg
thought bros career,-1,UgyIxYtvCKv2RDACL3d4AaABAg
1109 apple knew laptop one dave2d put freezer going overheat yet made chassis thin sabotage intel theyre launch chip fastforward launch m1pro mb16 thick ass chassis better thermal,0,UgwtrAUzd0AFz0485XR4AaABAg
love efficiency 10 year old innovation gimme dahmn sdxc card slot lol,-1,UgwSHKXqUrkIE3rMA4J4AaABAg
apple redefined finding apot pspot,0,UgxTBi-SzCI6vW6Sm3l4AaABAg
would work music production,2,Ugy5KJQrL29udBGWAlB4AaABAg
34 min clip puts power button bottom,1,UgzyBQu2hq1kqesmBb94AaABAg
could someone tell change quality video,2,UgyUspiG1Abrg3yYDgh4AaABAg
dont review chinese phone,-1,UgzQn7JkjebHYz2gN914AaABAg
hows wallpaper app,5,UgzLRa6Hr2vrORSaxWx4AaABAg
always waiting videos love india,2,Ugxzalj4trhMrsb9up14AaABAg
power button doesnt worry saves idiot kid wife accidently pressing put pc sleep im sure turning isnt issue,1,UgwKYHaz15fPnVX7qTd4AaABAg
yes person whose job make worse design decision possible impossible truly amazing design work,0,UgyaSvZ6caqgyBrB7aV4AaABAg
funny finally admitted 2013 macbook pro retina outdated went go look mac minis quite shocked affordable,0,UgzJ1Cf6s5nsDzvp5sx4AaABAg
love aspect ratio video highlights notch iphone makes even noticeable straight mentions lol,-1,UgwdexAOLvf-WibMIud4AaABAg
thank,2,UgxS6gfPBbweQamQP0B4AaABAg
really want hold hand realise small really every time switch,1,UgzkZE-pzoFV_ZlcUzZ4AaABAg
still waiting macbook pro video make buying decision,-1,UgxiF9EnCovFZjZUKvF4AaABAg
dope video man really wind content appreciated hate guy giving measurements people proper way widthheightlength way taught remember dumb works woman legs men btw easy remember opinion mac 5x2x5,-1,Ugx1CbgiKpaPuRNYthx4AaABAg
needed bump base memory 16gb years ago,0,UgyDa_QywboUOX-xstJ4AaABAg
guess button cus hung desk like hidden u jst press button easily,-1,UgxZhCam5APwnDa3uFF4AaABAg
lol love bottom power button part haha,1,UgyHIvUFPz7P2XT0pux4AaABAg
choose power button top place desk inverted,1,UgwE8TI04QJVbCDd4TV4AaABAg
think power button genius three year old pressing,1,Ugw3UHGWWwb600mDIJN4AaABAg
made apple logo top power button could even pressure sensitive didnt even need pushable button apple would continue sleekness actually everything make sense,1,Ugw6st7YcZqW-cf-LH54AaABAg
somebody make rack mounted back monitor make thing sits sideways back button tolerable,1,Ugza75VqYoHntWd9Rht4AaABAg
want use mac mini music server local itunes library anyone know control mac mini via ipad iphone basically use headless built feature mac os allow control via ipad play itunes music want connect monitor keyboard mouse play music via itunes,0,Ugx6Z1sNHHk5fWZoZp94AaABAg
think power button bottom expect carry around lot,1,UgzH9QzcaDdzoTKnwRt4AaABAg
base model going run effects,0,UgzE5tsioIg_9YAYUfF4AaABAg
throw backpack inbuilt monitori know apple paid u promotion dont lie coustomer,0,Ugy10T8RAs2NVXjufvB4AaABAg
made commercial relating mini photography dont put sd card slot 16gb ram added charity apple intelligence,-1,UgxBCtLOFEMxtwwRjv94AaABAg
unfortunately button properly understood think thats shame statement device longer needs switched stays standby wake keyboard works absolutely reliably lightning fast course impact climate whatsoever 05 watts power consumption standby one little revolutions apple pull beautiful,1,Ugw49nNEcvBA1QqM_z94AaABAg
nand chips actualy upgradable one wait replacement available soon,-1,Ugw5U90nkMdPBaXG8xt4AaABAg
button location isnt nearly obnoxious magic mouse impersonating stuck turtle,1,Ugx1avDWJxXWZVePumd4AaABAg
think power button placement problem impede function way charge port magic mouse mean use charging power button mini affect function rarely need access prevents accidental presses keeps exterior cleaner see issue,1,Ugwqmd1EzqvoTYUcp8l4AaABAg
linus went second route speccing desktop ridiculously large case next mini reason didnt try find similar sff pc nuc whatever called doubt lower end sff configs cpugpu compete mini adding storage contest favor pc lon seidman made interesting observation heralding return affordable htpc get apple tv know box designed media consumption ill let experts debate one would seem like expensive set top box mine,0,UgyMswKKcinOtFKriJt4AaABAg
worth upgrading m2pro mini,0,UgyfUFeuoiLj6lYx6ad4AaABAg
guess wont talk intels nuc series small forever,8,Ugx7AF9-YSojcvc9sA94AaABAg
tired gadgets gizmos one day marques may become monk living hills,6,Ugx6aGMcfHO7cJAZ67N4AaABAg
headphone jack,1,UgwCOhQgukPIG7426bR4AaABAg
really useful video though debating whether go pro base model going photo editing nothing heavy amateur photographer would base fine lightroom work general everyday editing struggling justify near 1000 difference price,0,UgwOKi-XwpEisNc9eG94AaABAg
definitely better wallpaper app,5,Ugw6fRdbawYRCpsmOFl4AaABAg
one thing wallpaper app longer talking apple makes great tech review criticise make 50 wallpaper apps absolutely need shut apologise innovators destroyed,5,UgyoJw31rZFmfAjPRBJ4AaABAg
already,2,UgyoJw31rZFmfAjPRBJ4AaABAg.AAfu7mvms_1AAfxzQXzF7P
waiting casey neistat come diy idea power button placed bottom,1,UgxspiBTaLD9iRHG9Yx4AaABAg
cann keep upside,11,UgzqtN_fDSdDsHE7FKh4AaABAg
school work better macbook want spend anything 700,0,Ugw7IedTv-9hJTmcIcV4AaABAg
boo old design better power button bottom dealbreaker,1,UgxQBOoLCd7F36SNzv14AaABAg
4tb m2 costs 250 yet apple wants drop 600,0,UgzqOrnsyDTEsjmwUE14AaABAg
base mac mini 1000 aud worth,0,UgyPhkMab1tHXhNQjC14AaABAg
dont tell people sbcs,-1,Ugzy0BFevR466H6S6_F4AaABAg
157 huh smaller,-1,UgzdDMPC8fy6alDvt2x4AaABAg
smaller new roll duct tape clearly larger though,4,UgxJujLlaUyZQDdwaCR4AaABAg
start button location chance build rig place power button top side charge users premium apple fees course call new name rather saying lever,-1,UgyCAmSz0d_C8r_rCxR4AaABAg
thanks another cupertino advertisement,-1,UgwHIyPuRQ61zHxTPb14AaABAg
lil leaf apple logo power button,1,Ugx_rUnmuTq3L_ICa954AaABAg
pro pc guy living outside us base model costs 740 800 good deal comparing get money equivalent pc also consider need another 214 apple keyboard mouse idea much compatible screen going cost reference cheapest studio display 2k ive wanting try mac prices complete joke may make sense already customer completely bonkers pc guys especially outside us,-1,UgwtxCvBh6iQ6lVbhg14AaABAg
cant comment nonus pricing exchange rates etc wont need apple keyboardmouse keyboard mouse work fine well display safe may incompatible hardware exception one doesnt need find applecompatible mousekeyboarddisplay afaik,-1,UgwtxCvBh6iQ6lVbhg14AaABAg.AAfl4SVN3PRAAg1_lbOFoy
andyconlin way,2,UgwtxCvBh6iQ6lVbhg14AaABAg.AAfl4SVN3PRAAg64nl2_7J
mac mini one product apple offers isnt pretentious controlling overpriced nonsense,-1,UgzNK0sDtfi2onr2fJx4AaABAg
day 1 m1 mac mini fantastic 32gb ram would fantastic though want new one,-1,UgxCFWIFdJ-4WL5R0F14AaABAg
incredible overprized taking away credabilty,-1,UgyTYELCkmneGZOTXvx4AaABAg
apple dont want users turn mac mini ever shortens lifespan buy new one soon warranty,-1,UgyLIdvvfgvmd20-2bF4AaABAg
doesnt shorten lifespan saves users time needing boot every day like pc users endure,-1,UgyLIdvvfgvmd20-2bF4AaABAg.AAfhzcq_oDoAAh-I7d5o29
power button underneath subtle emotional abuse gaslight,1,UgxQcdPF_fImRzjaBZV4AaABAg
base m4 mac mini faster 2020 m1 macbook pro 8gb 256gb watched video said wasnt,-1,UgyWYL8OeWvUL0Mzetl4AaABAg
great want 32gb ram 4tb ssd fast ssd inside great anymore average user sure works wonders,0,Ugwo2PtuubROJhzUSqJ4AaABAg
maybe charging bottom prevent people using charging power button prevent students messing around also give connections sides power button emergency,1,UgzRdpRqZBaAIf83aSp4AaABAg
took current mac mini airport came back damaged bluetooth despite size tempted longer travel mac mini mention finding good quality portable screens,-1,UgyL9cOdXGmLe0eNwHR4AaABAg
soundcore heaphones review needed sir ps,3,UgzPzUmW3ro2W6V2_Fp4AaABAg
every single youtuber said m1 laptops atrocious wonky touchpads low resolutions chugging performance good office work much else certainly creative work hell would trust,0,UgwZiyxrtsRbO3DtF1t4AaABAg
florida coulda sworn seen culver,2,Ugwn9wrtBBGvU28_TLB4AaABAg
went macbook pros mac mini m1 powerful pc ever owned cannot imagine wonders m4 pulls reference mixed 51 film scorefollyambientvoice 250 mics 80 audio tracks score alone experienced 1 crash one,-1,UgxBdueLBPeuO6-DvYp4AaABAg
model professional graphic designer,-1,Ugz2OLTMH266g1AZ2mt4AaABAg
maybe mac supposed ran upside thank hot air raises,0,UgzsXpJMVgBTBcGVQ714AaABAg
blurred stack rapped cash money man,3,UgxEbpfiYqmzRie0_Qp4AaABAg
